#OTU ID	SRR14065308_pass	SRR14065340_pass	SRR14065341_pass	SRR14065392_pass	SRR14065395_pass	SRR14065400_pass	SRR14065406_pass	SRR14065408_pass	SRR14065413_pass	SRR14065418_pass	SRR14065429_pass	SRR14065444_pass	SRR14065495_pass	SRR14065520_pass	SRR14065527_pass	SRR14065559_pass	SRR14065561_pass	SRR14065565_pass	SRR14065566_pass	SRR14065606_pass	SRR14065629_pass	SRR14065676_pass	SRR14065680_pass	SRR14065689_pass	SRR14065714_pass	SRR14065724_pass	SRR14065760_pass	SRR14065764_pass	SRR14065780_pass	SRR14065800_pass	SRR14065801_pass	SRR14065802_pass	SRR14065805_pass	SRR14065812_pass	SRR14065820_pass	SRR14065848_pass	SRR14065866_pass	SRR14065871_pass	SRR14065884_pass	SRR14065898_pass	SRR14065911_pass	SRR14065914_pass
17e994face6cbb8df85e9620f2422117	0	0	0	1	0	0	3	0	0	1	0	1	21	9	3	0	20	0	5	0	3	51	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	0	0	0	0
29d229105ffad984efb45ec0e6b3a667	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	3	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0
2ec25b950f335aa8bb5cb9e728fbdd5a	1	0	0	0	0	17	0	0	0	0	0	0	0	0	1	1	0	2	0	0	6	0	0	0	0	3	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0
2f17f10bd2323a22b5785a85331534ac	0	0	56	0	0	0	0	0	0	0	0	1	0	47	16	1	8	0	0	0	0	1	16	0	0	10	0	0	0	0	20	0	1	19	0	0	37	0	0	0	0	0
30a5d9ff99fe1c60ac9aa0f4be195b4a	2	4	0	0	1	0	0	0	0	2	0	0	21	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0
3bf30ec8de1124e0e20787d09bd36b80	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3e7a4a63de3a33ab7a363f1175abcaa8	0	0	6	0	0	0	3	0	11	2	0	2	5	5	1	0	2	0	0	0	0	16	5	221	64	1	0	0	0	1	0	3	0	3	0	0	2	0	80	123	83	108
4251942c1ce6355efed7952509014caa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4c546e24f53b4fe7d85ed3ca3cb6f32f	253	0	57	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
4cf8ca2c88d96a3c75bff0a7b1d71593	18	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4d5a89e740c535fe4f5b1bd24add3e37	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	1	0	0	0	0	0	0	126	0	0	0	0	0	0
505045760698ead319d4ff535faefeab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
56124d34d1d7a0d0e63dda8e4e52f730	0	0	3	2	0	1	1	0	0	2	0	3	0	0	6	3	5	0	1	2	1	0	0	0	0	0	0	0	0	3	2	0	0	1	7	0	1	2	0	0	0	0
